date,team1,team2,winner,result,result_margin,player_of_the_match,venue
2023-03-31,Gujarat Titans,Chennai Super Kings,Gujarat Titans,runs,5,Shubman Gill,Narendra Modi Stadium
2023-04-01,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,6,Virat Kohli,IS Bindra Stadium
2023-04-02,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,runs,12,MS Dhoni,MA Chidambaram Stadium
2023-04-03,Mumbai Indians,Delhi Capitals,Mumbai Indians,wickets,4,Ishan Kishan,Wankhede Stadium
2023-04-04,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,runs,10,KL Rahul,Sawai Mansingh Stadium
2023-04-05,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,runs,25,Andre Russell,Eden Gardens
2023-04-06,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,wickets,3,Rahmanullah Gurbaz,Rajiv Gandhi Intl. Stadium
2023-04-07,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,wickets,6,Sanju Samson,Arun Jaitley Stadium
2023-04-08,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,runs,15,Hardik Pandya,BRSABV Ekana Cricket Stadium
2023-04-09,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,wickets,2,Shikhar Dhawan,M. Chinnaswamy Stadium
